Scenario Name,Duration (seconds),Distance Traveled (meters),Choice,Distance to A (meters),Distance to B (meters)
Scenario12,36.62,25.68,0,191.09,318.07
Scenario12,26.36,30.92,0,178.24,302.43
Scenario12,25.58,28.15,0,197.83,322.19
Scenario11,29.97,0.00,0,203.28,327.93
Scenario11,8.11,0.41,0,203.59,328.25
Scenario11,24.92,19.16,0,193.02,317.92
Scenario11,16.85,29.63,0,181.36,306.72
Scenario11,50.10,108.14,0,147.57,269.34
Scenario11,44.54,87.44,0,201.92,325.17
Scenario12,107.11,263.13,0,56.44,173.09
Scenario12,29.91,68.77,0,205.49,329.88
Scenario12,18.00,20.76,0,203.48,328.51
Scenario12,59.88,187.84,0,220.59,345.18
Scenario12,39.90,123.16,0,209.69,334.65
Scenario12,72.70,196.17,0,195.60,320.24
